"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "Properties", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/phone.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/right.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/telegram.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/youtube.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/app/(auth)/login/page.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 7, 54
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/app/(auth)/register/page.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 8, 69
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/app/globals.css", "CSS", 0, 0, 0, 0, 0, 238, 0, 0, 2, 20, 260
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/app/korgazmalar/page.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/app/layout.tsx", "TypeScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/app/page.tsx", "TypeScript JSX", 0, 458, 0, 0, 0, 0, 0, 0, 2, 38, 498
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/app/shop/page.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/Banner/Banner.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/Header/Header.tsx", "TypeScript JSX", 0, 205, 0, 0, 0, 0, 0, 0, 1, 8, 214
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/Header/LocaleSwitcher.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/Header/LocaleSwitcherMobile.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/Header/clientHeader.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/Navbar/Navbar.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/SearchComponent/animated-search-button.tsx", "TypeScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 7, 59
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/SearchComponent/animated-search-transform.tsx", "TypeScript JSX", 0, 89, 0, 0, 0, 0, 0, 0, 1, 10, 100
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/Swiper/Card.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 9, 58
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/Swiper/Swiper.tsx", "TypeScript JSX", 0, 170, 0, 0, 0, 0, 0, 0, 0, 16, 186
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/animated-timeline/animated-timeline.tsx", "TypeScript JSX", 0, 91, 0, 0, 0, 0, 0, 0, 92, 15, 198
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/animated-timeline/data.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/animated-timeline/types.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/dot/Dot.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/footer/Footer.tsx", "TypeScript JSX", 0, 103, 0, 0, 0, 0, 0, 0, 6, 3, 112
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/login-form/forgotPassword.tsx", "TypeScript JSX", 0, 271, 0, 0, 0, 0, 0, 0, 10, 23, 304
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/login-form/login-form.tsx", "TypeScript JSX", 0, 135, 0, 0, 0, 0, 0, 0, 1, 8, 144
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/map/map.tsx", "TypeScript JSX", 0, 455, 0, 0, 0, 0, 0, 0, 0, 42, 497
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/pottery-story/pottery-story.tsx", "TypeScript JSX", 0, 94, 0, 0, 0, 0, 0, 0, 0, 6, 100
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/register-form/Verification.tsx", "TypeScript JSX", 0, 172, 0, 0, 0, 0, 0, 0, 2, 24, 198
